"behavior","subdialogue_id","subdialogue_text"
"#0Summoned to fight Aldrich after choosing ""No"" or ""Say nothing""","19012000","Mmm, I thought it might be you."
"#0Summoned to fight Aldrich after choosing ""No"" or ""Say nothing""","19002001","Then I'm afraid Horace..."
"#0Summoned to fight Aldrich after choosing ""No"" or ""Say nothing""","19002002","...No, this only bolsters my resolve."
"#0Summoned to fight Aldrich after choosing ""No"" or ""Say nothing""","19002003","Please. Lend me your strength."
"#0Summoned to fight Aldrich after choosing ""No"" or ""Say nothing""","19002004","Help me vanquish Aldrich, the man-eating fiend."
"#0Summoned to fight Aldrich after choosing ""Tell of the Smouldering Lake""","19002000","Ahh, I thought it might be you."
"#0Summoned to fight Aldrich after choosing ""Tell of the Smouldering Lake""","19012000","Mmm, I thought it might be you."
"#0Summoned to fight Aldrich after choosing ""Tell of the Smouldering Lake""","19002002","...No, this only bolsters my resolve."
"#0Summoned to fight Aldrich after choosing ""Tell of the Smouldering Lake""","19002003","Please. Lend me your strength."
"#0Summoned to fight Aldrich after choosing ""Tell of the Smouldering Lake""","19002004","Help me vanquish Aldrich, the man-eating fiend."
"#0After helping defeat Aldrich","19002101","I owe this to you. Thank you. Truly."
"#0After helping defeat Aldrich","19002102","Horace, we've done it, we really have..."
"#0Upon being attacked-1st time","19001503","What's happened to you?"
"#0Upon being attacked-2nd time","19001504","Please, stop this!"
"#0Upon being attacked & made hostile","19001600","You've gone Hollow, have you?"
"#0Upon being attacked & made hostile","19001601","Then I shall put you to rest."
"#0Upon being attacked & made hostile","19001602","Horace! Join me!"
"#0Upon being attacked & made hostile, after leaving Horace","19001600","You've gone Hollow, have you?"
"#0Upon being attacked & made hostile, after leaving Horace","19001601","Then I shall put you to rest."
"#0Upon dying","19001902","Oh, Horace, everyone, forgive me..."
"#0Upon dying","19001903","I was weak on my own..."
"#0After becoming hostole & the protagonist kills Horace in front of Anri","19001700","Oh, Horace, why..."
"#0After becoming hostole & the protagonist kills Horace in front of Anri","19001701","Don't leave me, not you..."
"#0After becoming hostole & the protagonist kills Horace in front of Anri","19001702","Not like the others..."
"#0After becoming hostole & the protagonist kills Horace in front of Anri","19001703","Oh, Horace, Horace..."
"#0Upon dying, after leaving Horace, or killing Horace in front of Anri","19001800","..."
"#0Upon dying, after leaving Horace, or killing Horace in front of Anri","19001802","Forgive me, Horace..."
"#0Upon dying, after leaving Horace, or killing Horace in front of Anri","19001803","It pains me...to leave you..."
"#0Upon dying, after leaving Horace, or killing Horace in front of Anri","19001500","##..."
"#0Upon dying, after leaving Horace, or killing Horace in front of Anri","19001501","##..."
"#0Upon dying, after leaving Horace, or killing Horace in front of Anri","19001603","##And may the flames watch over us!"
"#0Upon dying, after leaving Horace, or killing Horace in front of Anri","19001900","##..."
"#0Upon dying, after leaving Horace, or killing Horace in front of Anri","19002100","##Yes...we did it..."
