id,name,description
30001000,Sorcerer Robe,"Attire of a sorcerer from the Vinheim Dragon School.
Long, ash-colored robes.

Underneath is a deep blue sorcerer's coat;
conventional uniform of the academy."
30002000,Sorcerer Gloves,"Attire of a sorcerer from the Vinheim Dragon School.
Black-dyed leather gloves
embellished with silver medallions."
30003000,Sorcerer Trousers,"Attire of a sorcerer from the Vinheim Dragon School.
Black-dyed leather trousers and rugged boots.

A sorcerer knows that long-term research
means a lengthy and arduous road ahead."
30101000,Clandestine Coat,"Traditional coat of the Vinheim Dragon School.

Normally a deep blue color,
this black variation is a sign of
a sorcerer engaged in surreptitious work.
These were covert agents who
excelled at manipulating sound."
31000000,Cleric Hat,"Hat worn by a cleric turned undead.
Typical attire for blue-robed travelers.

It is said that they were entrusted with a duty,
still its nature is yet to be revealed."
31001000,Cleric Blue Robe,"Garb worn by a cleric turned undead.
Unmistakable vibrant blue robes.

It is said that the blue-robed travelers
were entrusted with a duty.
They bore large covers on their backs
to ensure that they would not become
seedbeds for spreading darkness."
31002000,Cleric Gloves,"Gloves worn by a cleric turned undead.
Typical attire for blue-robed travelers.

It is said that they were entrusted with a duty,
still its nature is yet to be revealed."
31003000,Cleric Trousers,"Trousers worn by a cleric turned undead.
Typical attire for blue-robed travelers.

It is said that they were entrusted with a duty,
still its nature is yet to be revealed."
40000000,Steel Soldier Helm,"Typical helm for a Lothric soldier.
Iron-made, but half fallen apart.

It is never unwise to wear a sturdy form of head
protection against arrows and other somatic threats."
40001000,Deserter Armor,"Common soldier's armor.
Its insignia is worn beyond recognition.

This musty, rusted hunk of metal
befits one reduced to thievery."
40003000,Deserter Trousers,"Common soldier's trousers.

This musty, rusted hunk of metal
befits one reduced to thievery."
43000000,Sage's Big Hat,"Enormous hat that completely obscures the face.
Belonged to twin gurus known as the Crystal Sages.

The pair are said to be successors to the great sage Logan,
and this big hat is a symbol of their pedigree."
44000000,Aristocrat's Mask,"Mask worn by jailers of Irithyll Dungeon.
Noblemen delighted in its plump features.

The jailers were among the few survivors
inhabiting the Profaned Capital,
later serving under Pontiff Sulyvahn.
Perhaps the screams emanating from the cells
help them forget their old home."
44001000,Jailer Robe,"Robe worn by jailers of Irithyll Dungeon.
Originally ritualistic formal wear.

The jailers were among the few survivors
inhabiting the Profaned Capital,
later serving under Pontiff Sulyvahn.
Perhaps the screams emanating from the cells
help them forget their old home."
44002000,Jailer Gloves,"Gloves worn by jailers of Irithyll Dungeon.

The jailers were among the few survivors
inhabiting the Profaned Capital,
later serving under Pontiff Sulyvahn.
Perhaps the screams emanating from the cells
help them forget their old home."
44003000,Jailer Trousers,"Trousers worn by jailers of Irithyll Dungeon.

The jailers were among the few survivors
inhabiting the Profaned Capital,
later serving under Pontiff Sulyvahn.
Perhaps the screams emanating from the cells
help them forget their old home."
46000000,Grave Warden Hood,"Rotting, tattered hood.
Attire of grave wardens at the Cathedral of the Deep.

Grave wardens were tasked with disposing of
the ever rising corpses that plagued the cathedral.
Their clothes are utterly putrid,
drenched in the blood and mucilage of their undertaking."
46001000,Grave Warden Robe,"Rotting, tattered robe.
Attire of grave wardens at the Cathedral of the Deep.

Grave wardens were tasked with disposing of
the ever rising corpses that plagued the cathedral.
Their clothes are utterly putrid,
drenched in the blood and mucilage of their undertaking."
46002000,Grave Warden Wrap,"Rotting, tattered wrap.
Attire of grave wardens at the Cathedral of the Deep.

Grave wardens were tasked with disposing of
the ever rising corpses that plagued the cathedral.
Their clothes are utterly putrid,
drenched in the blood and mucilage of their undertaking."
46003000,Grave Warden Skirt,"Rotting, tattered skirt.
Attire of grave wardens at the Cathedral of the Deep.

Grave wardens were tasked with disposing of
the ever rising corpses that plagued the cathedral.
Their clothes are utterly putrid,
drenched in the blood and mucilage of their undertaking."
47000000,Worker Hat,"Hat worn by inhabitants of the Undead Settlement.

Official attire for the dissection and burial of undead.
Naturally, the ceremonial significance of
such work is long forgotten.

Indeed, no one could continue to entertain such horrors."
47001000,Worker Garb,"Garb worn by inhabitants of the Undead Settlement.

Official attire for the dissection and burial of undead.
Naturally, the ceremonial significance of
such work is long forgotten.

Indeed, no one could continue to entertain such horrors."
47002000,Worker Gloves,"Gloves worn by inhabitants of the Undead Settlement.

Official attire for the dissection and burial of undead.
Naturally, the ceremonial significance of
such work is long forgotten.

Indeed, no one could continue to entertain such horrors."
47003000,Worker Trousers,"Trousers worn by inhabitants of the Undead Settlement.

Naturally, the ceremonial significance of
such work is long forgotten.

Indeed, no one could continue to entertain such horrors."
47500000,Thrall Hood,"Hood used to cover the head of lesser folk
who were set to work as slaves throughout Lothric.

Also occasionally used to
shame and humiliate criminals."
48000000,Evangelist Hat,"Hat of an evangelist sent from the cathedral.

These teachers, all women,
came to enlighten inhabitants of
the Undead Settlement and sent carriers
on the path of sacrifice."
48001000,Evangelist Robe,"Robe of an evangelist sent from the cathedral.

These teachers, all women,
came to enlighten inhabitants of
the Undead Settlement and sent carriers
on the path of sacrifice."
48002000,Evangelist Gloves,"Gloves of an evangelist sent from the cathedral.

These teachers, all women,
came to enlighten inhabitants of
the Undead Settlement and sent carriers
on the path of sacrifice."
48003000,Evangelist Trousers,"Trousers of an evangelist sent from the cathedral.

These teachers, all women,
came to enlighten inhabitants of
the Undead Settlement and sent carriers
on the path of sacrifice."
48501000,Scholar's Robe,"Robe of a sage from the Grand Archives,
stained quite deliberately with wax.

The scholars of the Grand Archives,
sorcerers by craft,
tend to their candles with a reverence that
exceeds the simple burden of labor.
They know dangers of the Archives' store of
knowledge all too well."
49000000,Winged Knight Helm,"Armor of the Winged Knights,
who swore themselves to the Angels.

Worship of the divine messengers was viewed
as heresy in Lothric and unrecognized by
any of the Three Pillars of rule.

This is believed to be why Gertrude,
the Heavenly Daughter,
was imprisoned in the lofty cell of the Grand Archives."
49001000,Winged Knight Armor,"Armor of the Winged Knights,
named for their appearance,
who swore themselves to the Angels.

Worship of the divine messengers was viewed
as heresy in Lothric and unrecognized by
any of the Three Pillars of rule.

This is believed to be why Gertrude,
the Heavenly Daughter,
was imprisoned in the lofty cell of the Grand Archives."
49002000,Winged Knight Gauntlets,"Armor of the Winged Knights,
who swore themselves to the Angels.

Worship of the divine messengers was viewed
as heresy in Lothric and unrecognized by
any of the Three Pillars of rule.

This is believed to be why Gertrude,
the Heavenly Daughter,
was imprisoned in the lofty cell of the Grand Archives."
49003000,Winged Knight Leggings,"Armor of the Winged Knights,
who swore themselves to the Angels.

Worship of the divine messengers was viewed
as heresy in Lothric and unrecognized by
any of the Three Pillars of rule.

This is believed to be why Gertrude,
the Heavenly Daughter,
was imprisoned in the lofty cell of the Grand Archives."
50500000,Cathedral Knight Helm,"Massive iron helm worn by
knights serving the Cathedral of the Deep.

Repulsive creatures of the deep
are sure to attract the foolish,
but the cathedral knights are
prepared to meet such intruders head on
with their more than ample might."
50501000,Cathedral Knight Armor,"Massive iron armor worn by
knights serving the Cathedral of the Deep.

Repulsive creatures of the deep
are sure to attract the foolish,
but the cathedral knights are
prepared to meet such intruders head on
with their more than ample might."
50502000,Cathedral Knight Gauntlets,"Massive iron gauntlets worn by
knights serving the Cathedral of the Deep.

Repulsive creatures of the deep
are sure to attract the foolish,
but the cathedral knights are
prepared to meet such intruders head on
with their more than ample might."
50503000,Cathedral Knight Leggings,"Massive iron leggings worn by
knights serving the Cathedral of the Deep.

Repulsive creatures of the deep
are sure to attract the foolish,
but the cathedral knights are
prepared to meet such intruders head on
with their more than ample might."
52000000,Lothric Knight Helm,"Armor of a celebrated Lothric knight.
A strong steel helm, if a little worn.

The Knight has served as one of
the Three Pillars since ancient times,
and shares place alongside
the wyverns as a symbol of Lothric.

Only those possessing a knight's resolve
are fit to wear this garment."
52001000,Lothric Knight Armor,"Armor of a celebrated Lothric knight.
The coat of distinction is all but fallen apart.

The Knight has served as one of
the Three Pillars since ancient times,
and shares place alongside
the wyverns as a symbol of Lothric.

Only those possessing a knight's resolve
are fit to wear this garment."
52002000,Lothric Knight Gauntlets,"Armor of a celebrated Lothric knight.
Strong steel gauntlets, if a little scratched.

The Knight has served as one of
the Three Pillars since ancient times,
and shares place alongside
the wyverns as a symbol of Lothric.

Only those possessing a knight's resolve
are fit to wear this garment."
52003000,Lothric Knight Leggings,"Armor of a celebrated Lothric knight.
Strong steel leggings, if a little scratched.

The Knight has served as one of
the Three Pillars since ancient times,
and shares place alongside
the wyverns as a symbol of Lothric.

Only those possessing a knight's resolve
are fit to wear this garment."
53000000,Outrider Knight Helm,"Armor of an Irithyll outrider knight.
Enveloped in a dimly cool air.

The knights were given the eyes of the Pontiff,
but the eyes transformed them into savage,
raving warriors who only knew
how to serve as mindless guards."
53001000,Outrider Knight Armor,"Armor of an Irithyll outrider knight.
Enveloped in a dimly cool air.

The knights were given the eyes of the Pontiff,
but the eyes transformed them into savage,
raving warriors who only knew
how to serve as mindless guards."
53002000,Outrider Knight Gauntlets,"Armor of an Irithyll outrider knight.
Enveloped in a dimly cool air.

The knights were given the eyes of the Pontiff,
but the eyes transformed them into savage,
raving warriors who only knew
how to serve as mindless guards."
53003000,Outrider Knight Leggings,"Armor of an Irithyll outrider knight.
Enveloped in a dimly cool air.

The knights were given the eyes of the Pontiff,
but the eyes transformed them into savage,
raving warriors who only knew
how to serve as mindless guards."
54000000,Black Knight Helm,"Armor of the Black Knights who roam the lands.

The knights served the First Lord Gwyn,
and followed him into the flame upon its linking.
They became ash, but still wander the realms to this day."
54001000,Black Knight Armor,"Armor of the Black Knights who roam the lands.

The knights served the First Lord Gwyn,
and followed him into the flame upon its linking.
They became ash, but still wander the realms to this day."
54002000,Black Knight Gauntlets,"Armor of the Black Knights who roam the lands.

The knights served the First Lord Gwyn,
and followed him into the flame upon its linking.
They became ash, but still wander the realms to this day."
54003000,Black Knight Leggings,"Armor of the Black Knights who roam the lands.

The knights served the First Lord Gwyn,
and followed him into the flame upon its linking.
They became ash, but still wander the realms to this day."
54500000,Dark Mask,"Bone mask of the Darkwraiths,
relics of a small country that fell to the dark long ago.
Looks as if it may crumble to dust at any moment.

The Darkwraiths were the oldest of the Red Eye Invaders,
and rumored to have served a Primordial Serpent."
54501000,Dark Armor,"Armor of the Darkwraiths,
relics of a small country that fell to the dark long ago.
Looks as if it may crumble to dust at any moment.

The Darkwraiths were the oldest of the Red Eye Invaders,
and rumored to have served a Primordial Serpent."
54502000,Dark Gauntlets,"Gauntlets of the Darkwraiths,
relics of a small country that fell to the dark long ago.
Look as if they may crumble to dust at any moment.

The Darkwraiths were the oldest of the Red Eye Invaders,
and rumored to have served a Primordial Serpent."
54503000,Dark Leggings,"Leggings of the Darkwraiths,
relics of a small country that fell to the dark long ago.
Look as if they may crumble to dust at any moment.

The Darkwraiths were the oldest of the Red Eye Invaders,
and rumored to have served a Primordial Serpent."
55000000,Exile Mask,"Iron mask of the watchdogs of Farron's Keep.

After the Legion's Watchers became Lords of Cinder,
the wolf blood dried up,
and Farron was consumed by a festering wood.

Within the wood, an emaciated old wolf commands
watchdogs to defend the sanctity of sleeping warriors.

Both the exiles were surely watchdogs themselves,
for Farron has always been a land of itinerants."
55001000,Exile Armor,"Armor of the watchdogs of Farron's Keep.

After the Legion's Watchers became Lords of Cinder,
the wolf blood dried up,
and Farron was consumed by a festering wood.

Within the wood, an emaciated old wolf commands
watchdogs to defend the sanctity of sleeping warriors.

Both the exiles were surely watchdogs themselves,
for Farron has always been a land of itinerants."
55002000,Exile Gauntlets,"Gauntlets of the watchdogs of Farron's Keep.

After the Legion's Watchers became Lords of Cinder,
the wolf blood dried up,
and Farron was consumed by a festering wood.

Within the wood, an emaciated old wolf commands
watchdogs to defend the sanctity of sleeping warriors.

Both the exiles were surely watchdogs themselves,
for Farron has always been a land of itinerants."
55003000,Exile Leggings,"Leggings of the watchdogs of Farron's Keep.

After the Legion's Watchers became Lords of Cinder,
the wolf blood dried up,
and Farron was consumed by a festering wood.

Within the wood, an emaciated old wolf commands
watchdogs to defend the sanctity of sleeping warriors.

Both the exiles were surely watchdogs themselves,
for Farron has always been a land of itinerants."
56000000,Pontiff Knight Crown,"Crown of the Pontiff's Knights,
now harrowed spirits of Irithyll.

The golden crown signifies those
who report directly to Sulyvahn.
The knights were his watchful eyes,
and when needed, his punitive blades."
56001000,Pontiff Knight Armor,"Armor of the Pontiff's Knights,
now harrowed spirits of Irithyll.

This blue-gray armor,
shrouded in a thinly cold air,
is light and brittle."
56002000,Pontiff Knight Gauntlets,"Gauntlets of the Pontiff's Knights,
now harrowed spirits of Irithyll.

This blue-gray gauntlets,
shrouded in a thinly cold air,
is light and brittle."
56003000,Pontiff Knight Leggings,"Leggings of the Pontiff's Knights,
now harrowed spirits of Irithyll.

This blue-gray leggings,
shrouded in a thinly cold air,
is light and brittle."
