"behavior","subdialogue_id","subdialogue_text"
"#0Talk-3rd time after initially defeating Darkeater Midir on the bridge","74001304","Just afore the church of the Princess standeth a tower
built to honour ancient knights.
Behind the sculpted knight which beareth no arms,"
"#0Talk-3rd time after initially defeating Darkeater Midir on the bridge","74001305","is a small shrine,
from which one may descend the chasm of darkness."
"#0Talk-3rd time after initially defeating Darkeater Midir on the bridge","74001302","I prithee, put the great dragon to rest."
"#0Talk-3rd time after initially defeating Darkeater Midir on the bridge","74001303","Afore the dark consumeth him, and his vows are forgot."
"#0Talk-1st time after defeating Darkeater Midir","74001400","My most humble thanks."
"#0Talk-1st time after defeating Darkeater Midir","74001401","Tis thanks to thee the dragon erred not from his vows."
"#0Talk-1st time after defeating Darkeater Midir","74001402","Please, take this.
A final gift of thanks."
"#0Talk-1st time after defeating Darkeater Midir","74001403","Now, hasten on thy journey,
but wake not the slumbering Princess."
"#0Talk-1st time after defeating Darkeater Midir","74001404","As the fire waneth, does she lie by the dark, all for the sake of Man."
"#0Talk-2nd time after defeating Darkeater Midir","74001500","My humblest thanks."
"#0Talk-2nd time after defeating Darkeater Midir","74001501","Now, hasten on thy journey,
but wake not the slumbering Princess."
"#0Talk-2nd time after defeating Darkeater Midir","74001502","As the fire waneth, does she lie by the dark, all for the sake of Man."
"#0Talk-1st time after reaching rank 1 as a Spear of the Church","74001600","Oh! Thou'rt now a spear of the church!"
"#0Talk-1st time after reaching rank 1 as a Spear of the Church","74001601","What a wonderful, blessed day this is."
"#0Talk-1st time after reaching rank 1 as a Spear of the Church","74001602","With a spear such as thee,
surely the Princess will slumber most gently,
and Midir's vows will be honoured."
"#0Talk-1st time after reaching rank 1 as a Spear of the Church","74001603","I must thank thee,
as a servant of the Princess, and a dear friend to Midir."
"#0Talk-1st time after reaching rank 1 as a Spear of the Church","74001604","May thy travels be resplendent with glory."
"#0Talk-2nd time after reaching rank 1 as a Spear of the Church","74001700","As the fire waneth, does she lie by the dark,
but now with thee to shelter her sleep."
"#0Talk-2nd time after reaching rank 1 as a Spear of the Church","74001701","Bless ye spears of the church.
May thy travels be resplendent with glory."
"#0Talk-1st time after reaching rank 2 as a Spear of the Church","74001800","Ah, thou'st... A Divine Spear become!"
"#0Talk-1st time after reaching rank 2 as a Spear of the Church","74001801","An honour once bestowed in the time of the Gods,
nearly unheard of in this age of waning fire."
"#0Talk-1st time after reaching rank 2 as a Spear of the Church","74001802","As a servant of the Princess, and friend to Midir..."
"#0Talk-1st time after reaching rank 2 as a Spear of the Church","74001803","I am honoured to have met thee."
"#0Talk-2nd time after reaching rank 2 as a Spear of the Church","74001900","As the fire waneth, does she lie by the dark,
but now with thee to shelter her sleep."
"#0Talk-2nd time after reaching rank 2 as a Spear of the Church","74001901","Bless ye divine spears.
May thy travels be resplendent with glory."
"#0Upon appearing in the ruins, after the protagonist touches the embraced shell","74002000","I've searched for thee, dark-stricken creature."
"#0Upon appearing in the ruins, after the protagonist touches the embraced shell","74002001","I am Shira, daughter of the Duke, descendant of gods,
and trusted friend to Midir."
"#0Upon appearing in the ruins, after the protagonist touches the embraced shell","74002002","At once, I am the honour of the gods,
the glory of fire, and the fear of the dark."
"#0Upon appearing in the ruins, after the protagonist touches the embraced shell","74002003","Thou shalt not go unpunished."
"#0Upon appearing in the ruins, after the protagonist touches the embraced shell","74002004","For thy treachery, thy profanity, and thy shameless yearning!"
"#0Upon killing the protagonist","74002100","Remember this, creature."
"#0Upon killing the protagonist","74002101","Ne'er will I forgive thy kind."
"#0Upon killing the protagonist, after reaching rank 1 as a Spear of the Church","74002200","Try again, to remember."
"#0Upon killing the protagonist, after reaching rank 1 as a Spear of the Church","74002201","The great honour it was to be a spear."
"#0Upon dying","74002400","..."
"#0Upon dying","74002600","Never would I ever..."
"#0Upon dying","74002601","...forgive thy lowly kind..."
"#0Upon dying","74002500","##Ahh, but why..."
"#0Upon dying","74002501","##Art thou to bed with the dark?"
