"behavior","subdialogue_id","subdialogue_text"
"#0Choose ""Ask to learn sorceries"" after returned with 10 Intelligence or more","13000203","What champion demands service without recompense?"
"#0Choose ""Ask to learn sorceries"" after returned with 10 Intelligence or more","13000204","Clearly, you are not that sort of man."
"#0Choose ""Ask to learn sorceries"" after returned with 10 Intelligence or more","13000205","Clearly, you are not that sort of woman."
"#0Choose ""Ask to learn sorceries"" after returned with 10 Intelligence or more","13000206","So, you will make me a promise."
"#0Choose ""Ask to learn sorceries"" after returned with 10 Intelligence or more","13000207","That in exchange for my teaching, you will bring me knowledge."
"#0Choose ""Ask to learn sorceries"" after returned with 10 Intelligence or more","13000208","In the form of scrolls detailing sorcery's secrets."
"#0Choose ""Ask to learn sorceries"" after returned with 10 Intelligence or more","13000209","Well? Can you assure me of this?"
"#0Choose ""Ask to learn sorceries"" with 10 Intelligence or more","13000100","How intriguing."
"#0Choose ""Ask to learn sorceries"" with 10 Intelligence or more","13000200","Very well."
"#0Choose ""Ask to learn sorceries"" with 10 Intelligence or more","13000201","Indeed, I am a sorcerer. With plenty to share."
"#0Choose ""Ask to learn sorceries"" with 10 Intelligence or more","13000202","However..."
"#0Choose ""Ask to learn sorceries"" with 10 Intelligence or more","13000203","What champion demands service without recompense?"
"#0Choose ""Ask to learn sorceries"" with 10 Intelligence or more","13000204","Clearly, you are not that sort of man."
"#0Choose ""Ask to learn sorceries"" with 10 Intelligence or more","13000205","Clearly, you are not that sort of woman."
"#0Choose ""Ask to learn sorceries"" with 10 Intelligence or more","13000206","So, you will make me a promise."
"#0Choose ""Ask to learn sorceries"" with 10 Intelligence or more","13000207","That in exchange for my teaching, you will bring me knowledge."
"#0Choose ""Ask to learn sorceries"" with 10 Intelligence or more","13000208","In the form of scrolls detailing sorcery's secrets."
"#0Choose ""Ask to learn sorceries"" with 10 Intelligence or more","13000209","Well? Can you assure me of this?"
"#0Choose ""Make no promise"" to either the 3rd or 4th query","13000400","I can respect an honest man."
"#0Choose ""Make no promise"" to either the 3rd or 4th query","13000401","I can respect an honest woman."
"#0Choose ""Make no promise"" to either the 3rd or 4th query","13000402","But I've already put in more than
my fair share of gratuitous service."
"#0Choose ""Make no promise"" to either the 3rd or 4th query","13000403","Be on your way, then."
"#0Choose ""Make no promise"" to either the 3rd or 4th query","13000404","Though you're welcome back if you change your mind."
"#0Talk-After choosing ""Make no promise"" to either the 3rd or 4th query","13000500","Have you changed your mind?"
"#0Talk-After choosing ""Make no promise"" to either the 3rd or 4th query","13000501","If I am to teach you, you are to fetch me knowledge."
"#0Talk-After choosing ""Make no promise"" to either the 3rd or 4th query","13000502","In the form of scrolls detailing the secrets of sorcery."
"#0Talk-After choosing ""Make no promise"" to either the 3rd or 4th query","13000503","Can you make this promise?"
"#0Choose ""Make a promise"" to either the 3rd or 4th query","13000300","Very well."
"#0Choose ""Make a promise"" to either the 3rd or 4th query","13000301","You are no fool. I take it you understand the weight of a promise."
"#0Choose ""Make a promise"" to either the 3rd or 4th query","13000302","I am Orbeck of Vinheim."
"#0Choose ""Make a promise"" to either the 3rd or 4th query","13000303","Unkindled one, I shall teach you sorceries."
"#0Choose ""Make a promise"" to either the 3rd or 4th query","13000304","We will learn together, it shall be like our very own school."
"#0Upon being attacked-1st time","13001103","What's the meaning of this?"
"#0Upon being attacked-2nd time","13001104","Stop while you're still ahead."
"#0Upon being attacked & made hostile","13001200","Is that how it is?"
"#0Upon being attacked & made hostile","13001201","Then we are through and done."
"#0Upon being attacked & made hostile","13001202","Enjoy your long sleep!"
"#0Upon killing the protagonist","13001300","Gods, this business never did agree with me..."
"#0Upon dying","13001400","..."
"#0Upon dying","13001403","I've lost...my touch..."
"#0Talk-1st time","13001700","Oh, you're back, then."
"#0Talk-1st time","13001701","Again, I'm Orbeck of Vinheim, here to teach you sorceries."
"#0Talk-1st time","13001702","Let us begin with the basics.
The ideal sorcerer bears the twin faces of the dragon..."
"#0Talk-1st time","13001703","...Oh, you could at least act as if you're paying attention!"
"#0Talk-1st time","13001704","(laugh)"
"#0Talk-2nd time","13001800","Back again, I see."
"#0Talk-2nd time","13001801","I suppose this means that you're after sorceries?"
"#0Talk-3rd time","13001900","Back again, I see."
"#0Talk-3rd time","13001901","Perfect timing, too. I'm in need of a diversion."
"#0Talk-4th time","13002000","Oh, what is it? Forgot something?"
"#0Talk-4th time","13002001","That would be quite like you."
"#0Talk-4th time","13002002","..."
"#0Menu-Choose ""Talk""-1st time","13002500","I don't mean to seem overbearing, but have you forgotten?"
"#0Menu-Choose ""Talk""-1st time","13002501","In exchange for my sorceries, you are to bring me knowledge."
"#0Menu-Choose ""Talk""-1st time","13002502","In the form of scrolls detailing the secrets of sorcery."
"#0Menu-Choose ""Talk""-1st time","13002503","I hope you're not one to break a promise."
"#0Menu-Choose ""Talk""-2nd time","13002600","Have you forgotten our agreement?"
"#0Menu-Choose ""Talk""-2nd time","13002601","I am starved. For sorceries."
"#0Menu-Choose ""Talk""-2nd time","13002602","Come now, I've been charitable long enough."
"#0Menu-Choose ""Talk""-3rd time","13001701","Again, I'm Orbeck of Vinheim, here to teach you sorceries."
"#0Menu-Choose ""Talk""-3rd time","13001702","Let us begin with the basics.
The ideal sorcerer bears the twin faces of the dragon..."
"#0Menu-Choose ""Talk""-3rd time","13001703","...Oh, you could at least act as if you're paying attention!"
"#0Menu-Choose ""Talk""-3rd time","13001704","(laugh)"
"#0Menu-Choose ""Talk"" after giving him one scroll & purchasing 3 spells","13002700","Oh, I have something for you."
"#0Menu-Choose ""Talk"" after giving him one scroll & purchasing 3 spells","13002701","You're a fine sorcerer now, no mistake."
"#0Menu-Choose ""Talk"" after giving him one scroll & purchasing 3 spells","13002702","You should have something to prove it."
"#0Menu-Choose ""Talk"" after giving him one scroll & purchasing 3 spells","13002703","Go on. If I'm giving something away, you'd better well take it."
"#0Menu-Choose ""Talk"" after giving him one scroll & purchasing 3 spells","13002704","..."
"#0Menu-Choose ""Talk"" Aural Decoy/Farron Flashsword/Pestilent Mist/Spook","13002800","How do you like gimmicks, friend?"
"#0Menu-Choose ""Talk"" Aural Decoy/Farron Flashsword/Pestilent Mist/Spook","13002801","This is a sign, a cipher employed by sorcerers
who use quietude to their advantage."
"#0Menu-Choose ""Talk"" Aural Decoy/Farron Flashsword/Pestilent Mist/Spook","13002803","With this, you can be sure to tell friend
from foe from your very first encounter."
"#0Menu-Choose ""Talk"" Aural Decoy/Farron Flashsword/Pestilent Mist/Spook","13002804","It's a very old practice at this point..."
"#0Menu-Choose ""Talk"" Aural Decoy/Farron Flashsword/Pestilent Mist/Spook","13002805","...but one that you deserve to know."
"#0Menu-Choose ""Talk""-4th time","13003000","In Vinheim, I was an assassin."
"#0Menu-Choose ""Talk""-4th time","13003001","A sorcerer only in name, a killer for hire."
"#0Menu-Choose ""Talk""-4th time","13003002","What a fool I was,
thinking one day I would learn real sorceries."
"#0Menu-Choose ""Talk""-4th time","13003003","When I became Undead, I was exiled from the school."
"#0Menu-Choose ""Talk""-4th time","13003004","But here I am, now, exploring the depths of sorcery."
"#0Menu-Choose ""Talk""-4th time","13003005","All thanks to you, I might add."
"#0Menu-Choose ""Talk"" after purchasing all spells","13003200","You are no ordinary man."
"#0Menu-Choose ""Talk"" after purchasing all spells","13003201","You are no ordinary woman."
"#0Menu-Choose ""Talk"" after purchasing all spells","13003202","All these sorceries, and you've mastered every one."
"#0Menu-Choose ""Talk"" after purchasing all spells","13003203","If this were the Dragon School, you'd be..."
"#0Menu-Choose ""Talk"" after purchasing all spells","13003204","..well, overtly despised, and banished from the place."
"#0Menu-Choose ""Talk"" after purchasing all spells","13003205","(laugh)"
"#0Menu-Choose ""Talk"" after purchasing all spells","13003206","Well, I suppose it's time I packed my bags."
"#0Menu-Choose ""Talk"" after purchasing all spells","13003207","I would hate to see our agreement end sourly."
"#0Menu-Choose ""Talk"" after purchasing all spells","13003208","Better left tucked away, as a pleasant memory."
"#0Menu-Choose ""Talk"" after Yuria arrived in Firelink Shrine","13002900","It is folly to claim lives recklessly, friend. Do not be tempted."
"#0Menu-Choose ""Talk"" after Yuria arrived in Firelink Shrine","13002901","No matter the victim's stature, every killing has a consequence."
"#0Menu-Choose ""Talk"" after Yuria arrived in Firelink Shrine","13002902","Even as I bloodied my hands, I never realised this simple truth."
"#0Menu-Choose ""Talk"" after Yuria arrived in Firelink Shrine","13002903","Hmph. There I was, the very definition of a fool..."
"#0Menu-Choose ""Give Sorcery Scroll"" & choose ""Give Sage's Scroll""","13003300","Oh, my... This is stupendous."
"#0Menu-Choose ""Give Sorcery Scroll"" & choose ""Give Sage's Scroll""","13003301","Then the Undead Legion of Farron
possesses sorceries quite unknown."
"#0Menu-Choose ""Give Sorcery Scroll"" & choose ""Give Sage's Scroll""","13003302","Thank you, for upholding your end of the bargain."
"#0Menu-Choose ""Give Sorcery Scroll"" & choose ""Give Sage's Scroll""","13003303","I doubt I ever would
have made this discovery alone."
"#0Menu-Choose ""Give Sorcery Scroll"" & choose ""Give Sage's Scroll""","13003304","Now, let us unravel the thing,
so you may put these new sorceries to use."
"#0Menu-Choose ""Give Sorcery Scroll"" & choose ""Give Sage's Scroll""","13003305","..."
"#0Menu-Choose ""Give Sorcery Scroll"" & choose ""Give Logan's Scroll""","13003400","Oh, my! You've made quite the discovery!"
"#0Menu-Choose ""Give Sorcery Scroll"" & choose ""Give Logan's Scroll""","13003401","This is a scroll of the prodigious Big Hat Logan."
"#0Menu-Choose ""Give Sorcery Scroll"" & choose ""Give Logan's Scroll""","13003402","A masterful sorcerer, long missed in Vinheim."
"#0Menu-Choose ""Give Sorcery Scroll"" & choose ""Give Logan's Scroll""","13003403","And now, we have his scroll, right here in my very hands."
"#0Menu-Choose ""Give Sorcery Scroll"" & choose ""Give Crystal Scroll""","13003500","Unfathomable."
"#0Menu-Choose ""Give Sorcery Scroll"" & choose ""Give Crystal Scroll""","13003501","This is a crystal sorcery, created by the pale dragon,
thought only to exist in legend..."
"#0Menu-Choose ""Give Sorcery Scroll"" & choose ""Give Crystal Scroll""","13003502","I am ever grateful to you. This is truly sublime."
"#0Menu-Choose ""Give Sorcery Scroll"" & choose ""Give Crystal Scroll""","13003503","I am afraid this is a debt I cannot repay, only..."
"#0Menu-Choose ""Give Sorcery Scroll"" & choose ""Give Crystal Scroll""","13003504","I will be sure to unravel it for you. Just a moment."
"#0Menu-Choose ""Give Sorcery Scroll"" & choose ""Give Golden Scroll""","13003600","Oh, my... This is very unusual."
"#0Menu-Choose ""Give Sorcery Scroll"" & choose ""Give Golden Scroll""","13003601","It's from Oolacile, an ancient land of golden sorceries."
"#0Menu-Choose ""Give Sorcery Scroll"" & choose ""Give Golden Scroll""","13003602","Not even the Dragon School
possesses such a long-lost scroll."
"#0Menu-Choose ""Give Sorcery Scroll"" & choose ""Give Golden Scroll""","13003603","What would the xanthous scholars say,
with their ridiculous headwear."
"#0Menu-Choose ""Give Sorcery Scroll"" & choose ""Give Golden Scroll""","13003604","They would simply slaver over this find."
"#0Menu-Choose ""Give Sorcery Scroll"" & choose ""Give Golden Scroll""","13003605","(laugh)"
"#0Menu-Choose ""Leave""-1st time","13002100","Come again."
"#0Menu-Choose ""Leave""-2nd time","13002300","Don't forget what you promised."
"#0Menu-Choose ""Leave""-3rd time","13002200","Promise to stay safe."
"#0Menu-Choose ""Leave""-4th time","13002400","Promise to stay safe."
"#0Menu-Choose ""Leave""-4th time","13002401","It's been nice running our own little school."
"#0Upon being attacked-1st time","13003703","What is this about?"
"#0Upon being attacked-2nd time","13003704","Have you lost your wits?"
"#0Upon being attacked & made hostile","13003800","Seems it's too late."
"#0Upon being attacked & made hostile","13003801","Then, there's only one thing to do."
"#0Upon being attacked & made hostile","13003802","With regret, I will end this here and now!"
"#0Upon killing the protagonist","13003900","Gods, what have I done..."
"#0Upon dying","13004100","..."
"#0Upon dying","13004102","But, why..."
"#0Upon dying","13004103","Is that all that I'm worth?"
"#0Upon killing the protagonist, after giving him all 4 sorcery scrolls","13004000","Farewell. We had a nice little school going."
"#0Upon dying, after giving him all 4 sorcery scrolls & purchasing all spells","13004200","..."
"#0Upon dying, after giving him all 4 sorcery scrolls & purchasing all spells","13004202","So be it..."
"#0Upon dying, after giving him all 4 sorcery scrolls & purchasing all spells","13004203","It was nice while it lasted..."
"#0Upon dying, after giving him all 4 sorcery scrolls & purchasing all spells","13001100","##..."
"#0Upon dying, after giving him all 4 sorcery scrolls & purchasing all spells","13001101","##..."
"#0Upon dying, after giving him all 4 sorcery scrolls & purchasing all spells","13001402","##Curses, how could this..."
"#0Upon dying, after giving him all 4 sorcery scrolls & purchasing all spells","13001500","##Oh, I've had it with you!"
"#0Upon dying, after giving him all 4 sorcery scrolls & purchasing all spells","13001501","##Not another word will come out of your mouth!"
"#0Upon dying, after giving him all 4 sorcery scrolls & purchasing all spells","13001502","##Perhaps this will teach you!
That petty mischief will not go overlooked!"
"#0Upon dying, after giving him all 4 sorcery scrolls & purchasing all spells","13001600","##That ought to keep you quiet..."
"#0Upon dying, after giving him all 4 sorcery scrolls & purchasing all spells","13003100","##You've been very studious."
"#0Upon dying, after giving him all 4 sorcery scrolls & purchasing all spells","13003101","##In fact, I have nothing more to teach."
"#0Upon dying, after giving him all 4 sorcery scrolls & purchasing all spells","13003102","##Well, I suppose it's high time to call it quits."
"#0Upon dying, after giving him all 4 sorcery scrolls & purchasing all spells","13003103","##I would hate to see our agreement end sourly."
"#0Upon dying, after giving him all 4 sorcery scrolls & purchasing all spells","13003104","##Better left tucked away, as a nice memory."
"#0Upon dying, after giving him all 4 sorcery scrolls & purchasing all spells","13003700","##..."
"#0Upon dying, after giving him all 4 sorcery scrolls & purchasing all spells","13003701","##..."
